M,time_MOT,time_TOEP,time_ASAO
15,0.000704763,0.00135753,0.0048887
31,0.00113985,0.00250752,0.00934431
63,0.00226801,0.00500619,0.0189304
127,0.00538857,0.0101056,0.0373399
255,0.015093,0.0207919,0.0748348
511,0.0477306,0.0428388,0.149515
1023,0.168205,0.0893961,0.298924
2047,0.668623,0.200089,0.62467
4095,2.69895,0.486981,1.45212
